Year,Minority,Major,Programming,Programming.Affinity,Statistics,Letter.Grade,Requirement,Birthday,Extrovert,People.Texted,Hours.of.Sleep,Handedness,Sleep.Position,Pets,Piercings,Languages
First Year,Yes,Civil Engineering,False,2,False,Yes,Yes,9/9,5,4,6,Right-handed,On your back,True,4,3
Fourth Year,Yes,Public Health,False,1,True,Yes,Yes,10/28,5,4,6,Right-handed,On your stomach,True,4,6
Fourth Year,No,Economics,False,1,True,Maybe,No,4/9,9,6,7,Right-handed,On your right side,True,7,6
First Year,I don't know,Civil Engineering,True,2,False,Yes,Yes,1/25,4,3,8,Right-handed,On your left side,True,0,2
Third Year,Yes,Political Economy,False,1,True,Maybe,Yes,6/22,5,11,7.5,Right-handed,On your left side,True,4,2
Third Year,Yes,Statistics,False,3,True,Yes,Yes,1/14,7,4,8,Right-handed,On your back,True,0,1
Second Year,No,Economics,True,4,True,Yes,Yes,10/8,7,5,6,Right-handed,On your back,False,0,2
Third Year,No,"Psychology, philosophy",False,1,False,Yes,Yes,6/21,7,5,6,Right-handed,On your right side,True,2,2
First Year,Yes,"EECS, Physics, Statistics",False,3,True,Yes,Yes,8/26,6,5,7,Left-handed,On your back,True,2,2
Third Year,No,Civl Engineering,False,2,False,Yes,Yes,10/10,9,8,9,Right-handed,On your back,True,7,2
Second Year,No,Media Studies,False,1,False,Yes,Yes,7/24,6,12,9,Right-handed,On your right side,True,3,2
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,1,False,Yes,Yes,7/8,8,5,6,Right-handed,On your right side,False,3,2
First Year,No,Engineering Undeclared Discipline,True,4,True,Yes,Yes,8/16,7,4,8,Right-handed,On your back,True,2,3
Fourth Year,No,Mathematics,True,3,False,Yes,No,6/10,6,2,8,Right-handed,On your stomach,False,0,2
Second Year,Yes,"Business, Molecular and Cell Biology",False,1,False,Yes,Yes,1/17,7,7,7,Right-handed,On your right side,False,2,2
Fourth Year,No,Cognitive Science,False,2,False,Yes,Yes,2/26,8,5,6,Right-handed,On your left side,True,15,5
Fourth Year,Yes,Public Health,False,1,False,Yes,Yes,11/10,7,5,8,Right-handed,On your right side,True,7,2
Second Year,No,Analytics,False,1,False,Yes,Yes,5/1,6,10,9,Right-handed,On your back,True,2,2
Second Year,No,"Business, Data Science, Economics",True,3,True,Yes,Yes,6/30,6,5,7,Right-handed,On your back,True,4,3
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,3/12,1,1,6,Right-handed,On your left side,True,4,3
First Year,No,Statistics,True,3,True,Yes,Yes,11/16,7,4,7,Right-handed,On your back,True,0,3
Third Year,No,Data Science,True,5,False,Yes,Yes,10/31,2,3,7,Left-handed,On your left side,True,0,2
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,4/9,4,12,7,Right-handed,On your stomach,False,0,2
Fourth Year,Yes,Applied Math,True,3,False,Yes,Yes,1/21,4,5,7,Right-handed,On your left side,False,0,2
Third Year,No,"Sustainable Environmental Design, Environmental Economics and Policy",False,2,True,Yes,Yes,9/28,4,10,8,Right-handed,On your right side,True,0,1
Second Year,No,Public Health,False,1,False,Yes,Yes,6/29,5,3,7.5,Right-handed,On your right side,False,2,4
First Year,No,"Applied Math, Data Science",True,3,False,Yes,Yes,2/25,6,10,7,Right-handed,On your stomach,True,0,5
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,1,True,Yes,Yes,11/22,9,3,7,Right-handed,On your stomach,True,2,3
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,1,False,Maybe,Yes,1/4,7,3,6,Right-handed,On your left side,True,2,3
First Year,No,"Data Science, Economics",True,3,True,Yes,Yes,8/17,6,10,8,Right-handed,On your right side,True,2,3
First Year,No,Data Science,True,3,True,Yes,Yes,11/3,3,6,7,Right-handed,On your stomach,False,0,6
Second Year,Yes,"Data Science, Physics, Astrophysics",True,5,False,Yes,Yes,10/27,9,3,7,Right-handed,On your right side,False,4,2
Second Year,No,Economics,True,2,True,Yes,No,4/12,5,10,6,Right-handed,On your right side,False,0,3
Second Year,No,Public Health,True,2,False,Yes,Yes,7/8,8,5,7,Right-handed,On your back,False,0,6
Third Year,I don't know,Cognitive Science,True,2,True,Yes,Yes,3/12,8,7,7,Right-handed,On your back,True,2,2
transfer first year,No,Civil Engineering,False,3,False,Yes,I don't know,2/2,6,3,6,Right-handed,On your back,False,1,3
Second Year,No,Business,False,1,True,Yes,Yes,11/20,9,8,7,Right-handed,On your stomach,False,2,2
First Year,No,Data Science,True,5,True,Yes,Yes,1/8,7,5,7.5,Right-handed,On your left side,True,0,3
First Year,No,Business,True,3,False,Yes,Yes,4/13,6,10,5,Right-handed,On your back,False,0,5
Fourth Year,Yes,Media Studies,False,3,False,Yes,Yes,11/9,8,7,8,Right-handed,On your right side,True,2,3
Second Year,I don't know,"Cognitive Science, Sociology",False,2,False,Yes,Yes,4/30,7,7,7,Left-handed,On your stomach,False,4,6
Second Year,Yes,Molecular and Cell Biology,False,1,False,Yes,Yes,5/15,3,5,7,Right-handed,On your left side,True,5,2
Fourth Year,No,Media Studies,False,1,False,Maybe,Yes,11/8,6,10,7,Right-handed,On your right side,True,5,4
Second Year,Yes,Undecided,True,3,False,Yes,Yes,9/6,6,9,6,Right-handed,On your back,True,4,4
Second Year,No,Cognitive Science,False,1,True,Yes,Yes,3/24,6,5,6,Right-handed,On your left side,False,6,4
Second Year,No,"Applied Math, Data Science",False,2,False,Yes,Yes,3/12,4,5,8,Right-handed,On your back,False,4,3
Second Year,No,"Business, IEOR",True,3,True,Yes,Yes,8/18,6,20,7,Right-handed,On your right side,False,0,3
Fourth Year,No,Applied Math,True,3,True,Yes,Yes,1/8,5,3,7,Right-handed,On your right side,False,2,3
First Year,No,Civil Engineering,False,3,True,Yes,Yes,8/10,5,2,6,Right-handed,On your back,True,0,3
Second Year,Yes,EEP,False,1,True,Yes,Yes,1/14,3,6,7,Right-handed,On your left side,True,0,2
First Year,No,Molecular and Cell Biology,True,2,True,Yes,Yes,8/28,6,6,8,Right-handed,On your back,False,2,3
First Year,I don't know,Civil Engineering,False,1,True,Yes,Yes,6/30,5,8,7,Left-handed,On your right side,False,8,3
Second Year,No,Cognitive Science,False,1,True,Yes,Yes,5/2,8,5,9,Right-handed,On your right side,True,3,3
First Year,Yes,legal studies,False,1,False,Maybe,Yes,12/19,9,7,7,Right-handed,On your back,True,7,7
Third Year,Yes,Statistics,True,2,True,Yes,Yes,1/24,5,9,8,Right-handed,On your stomach,True,0,5
First Year,Yes,Civil Eng,True,2,True,Yes,Yes,6/21,7,8,6,Right-handed,On your right side,False,0,4
Second Year,No,Economics,True,2,True,Yes,Yes,8/3,7,10,7,Right-handed,On your left side,False,4,3
Second Year,Yes,"Business, Data Science",False,1,False,Yes,Yes,12/10,6,8,6.5,Right-handed,On your right side,True,4,5
First Year,No,Civil Engineering,False,2,True,Yes,Yes,4/6,7,15,9,Right-handed,On your left side,True,0,2
Second Year,No,"Business, Data Science",False,1,True,Yes,Yes,9/16,4,7,8,Right-handed,On your left side,False,4,3
First Year,Yes,Data Science,False,1,True,Yes,Yes,12/4,3,8,8,Right-handed,On your stomach,True,2,2
First Year,I don't know,"Applied Math, Economics",True,4,False,Yes,I don't know,5/11,5,4,6,Right-handed,On your right side,False,2,3
First Year,I don't know,Data Science,True,3,True,Yes,Yes,9/13,8,5,8,Right-handed,On your right side,False,2,2
Third Year,Yes,Civil and Environmental Engineering,False,3,False,Yes,Yes,10/27,8,8,8,Right-handed,On your right side,True,0,3
First Year,No,"Applied Math, Data Science",True,2,True,Yes,Yes,1/11,7,10,8,Right-handed,On your stomach,True,0,7
First Year,Yes,Cognitive Science,False,1,True,Yes,No,3/28,8,5,8,Right-handed,On your left side,False,1,3
Second Year,No,"Applied Math, Statistics",True,4,True,Yes,I don't know,11/4,5,10,8,Right-handed,On your stomach,False,0,2
Second Year,No,Applied Math,True,4,False,Yes,Yes,8/5,7,7,7,Right-handed,On your left side,True,5,1
First Year,No,"Business, want to pursue data science double major ",True,1,True,Yes,Yes,2/17,6,5,7.5,Right-handed,On your right side,False,0,2
First Year,No,Cognitive Science,False,2,False,Yes,Yes,9/15,7,5,8,Right-handed,On your back,False,0,3
First Year,I don't know,"Applied Math, Computer Science, Data Science, Economics, Statistics",False,1,True,Yes,Yes,7/29,3,3,7,Left-handed,On your back,True,0,4
Third Year,No,"Data Science, Molecular and Cell Biology",False,1,True,Yes,Yes,9/28,1,5,10,Left-handed,On your left side,True,0,5
Fourth Year,No,chemical engineering,True,1,False,Yes,Yes,1/24,5,5,7,Left-handed,On your back,True,6,2
Fourth Year,Yes,Data Science,True,3,True,Yes,Yes,7/8,3,2,7,Right-handed,On your left side,True,0,2
Second Year,No,Environmental Economics,True,2,False,Yes,Yes,3/10,8,6,7,Right-handed,On your right side,True,7,4
Second Year,No,Computer Science,True,4,True,Yes,Yes,2/13,4,3,8,Right-handed,On your back,False,0,2
Second Year,Yes,Data Science,False,3,False,Yes,Yes,5/13,7,2,7,Right-handed,On your left side,True,1,3
First Year,Yes,Molecular and Cell Biology,False,1,False,No,Yes,2/16,7,4,6,Right-handed,On your back,True,2,2
Fourth Year,Yes,"Psychology, Asian and Asian American Diaspora Studies",False,1,True,Maybe,No,8/26,7,5,7,Right-handed,On your back,True,7,2
Third Year,Yes,Cognitive Science,True,3,False,Yes,Yes,9/16,6,2,7,Left-handed,On your stomach,False,2,2
First Year,Yes,Civil Engineering,True,4,False,Yes,Yes,1/22,10,2,7,Right-handed,On your right side,True,0,2
Third Year,No,Business,True,4,True,Yes,Yes,11/5,8,1,7,Right-handed,On your stomach,True,0,1
First Year,Yes,"Data Science, Molecular and Cell Biology",True,2,True,Yes,Yes,10/22,3,3,7,Right-handed,On your left side,False,0,2
Third Year,No,sociology,False,1,True,Yes,Yes,10/3,2,2,6,Right-handed,On your left side,False,0,5
Second Year,I don't know,"Molecular and Cell Biology, Public Health",False,1,True,Yes,Yes,4/22,7,10,5,Right-handed,On your stomach,False,2,5
Third Year,No,Chemical Engineering,True,4,True,Yes,Yes,5/15,4,8,7,Right-handed,On your left side,False,7,3
Third Year,No,Data Science,True,3,True,Yes,Yes,1/9,7,4,7.5,Left-handed,On your left side,True,5,2
Second Year,Yes,"Interdisciplinary Studies, Statistics",True,2,True,Yes,Yes,4/21,4,10,8,Right-handed,On your stomach,True,7,2
Second Year,Yes,Political Science,False,1,True,Yes,Yes,9/2,5,8,5,Right-handed,On your left side,True,4,4
Third Year,Yes,Industrial Engineering and Operations Research,False,3,False,Yes,Yes,6/1,9,10,8,Right-handed,On your back,True,4,4
Third Year,I don't know,Cognitive Science,False,1,False,Yes,Yes,3/21,2,2,7,Right-handed,On your left side,True,0,2
First Year,Yes,Data Science,False,3,False,Yes,Yes,1/31,4,6,6,Right-handed,On your left side,False,1,3
Second Year,Yes,Data Science,False,3,False,Yes,Yes,8/3,8,5,6,Right-handed,On your back,False,0,2
First Year,I don't know,Civil Engineering,False,2,False,Yes,Yes,4/2,7,5,8,Right-handed,On your right side,True,0,2
Third Year,I don't know,Cognitive Science,True,2,True,Yes,Yes,3/29,8,5,7.5,Right-handed,On your back,True,2,4
Fourth Year,Yes,Public Health,False,2,False,Yes,Yes,10/30,4,1,7,Right-handed,On your left side,False,2,2
First Year,No,Data Science,True,1,True,Yes,Yes,10/3,5,4,6,Right-handed,On your back,False,0,2
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,4/9,3,11,8,Right-handed,On your right side,True,1,3
Second Year,Yes,Ethnic Studies,False,1,True,Yes,Yes,12/18,6,5,8,Right-handed,On your stomach,True,2,2
First Year,No,Data Science,True,3,True,Yes,Yes,3/27,7,10,6,Right-handed,On your stomach,True,0,3
Second Year,No,EECS,True,3,True,Yes,Yes,10/5,5,15,7,Right-handed,On your back,False,0,3
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,3,True,Yes,Yes,2/7,7,10,8,Right-handed,On your left side,False,0,2
First Year,No,Business,True,3,True,Yes,Yes,3/22,9,8,7,Right-handed,On your stomach,False,2,3
Second Year,Yes,Economics,False,2,True,Yes,Yes,2/17,6,7,7,Right-handed,On your right side,False,2,3
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,7/27,8,10,6,Right-handed,On your back,True,2,3
Third Year,No,Business,False,1,True,Yes,I don't know,8/21,3,4,6,Right-handed,On your stomach,False,1,2
Third Year,Yes,Environmental Econ & policy,True,1,True,Yes,Yes,7/22,5,5,7,Right-handed,On your left side,False,2,3
Second Year,Yes,Public Health,False,1,True,Yes,Yes,3/25,3,4,8,Right-handed,On your right side,False,0,2
Third Year,No,Cognitive Science,False,1,True,Yes,Yes,3/28,6,5,7,Right-handed,On your stomach,False,4,12
First Year,No,"Applied Math, Data Science",False,4,True,Yes,Yes,10/27,5,6,6.5,Right-handed,On your back,True,0,3
First Year,No,Undecided,True,3,True,Yes,Yes,7/6,3,6,7,Right-handed,On your back,True,0,3
Fourth Year,Yes,"Public Health, Interdisciplinary ",True,2,False,Yes,Yes,7/1,8,13,7,Right-handed,On your right side,True,1,2
Second Year,No,Sociology,True,2,False,Yes,Yes,5/10,3,5,7,Right-handed,On your stomach,False,0,2
Fourth Year,I don't know,Statistics,False,2,True,Yes,Yes,10/17,5,2,4,Ambi,On your right side,True,0,3
First Year,Yes,Civil Engineering,False,2,False,Maybe,Yes,4/29,6,8,6,Right-handed,On your left side,True,2,4
Third Year,No,"Data Science, Statistics",True,4,False,Yes,Yes,11/2,4,4,7,Right-handed,On your right side,False,0,4
First Year,No,Physics,True,5,True,Yes,Yes,5/11,3,4,8,Left-handed,On your left side,True,0,2
Third Year,No,Astrophysics,True,1,True,Yes,No,1/11,6,20,7,Left-handed,On your left side,True,8,3
First Year,No,Civil Engineering,True,3,True,Yes,Yes,12/26,5,1,7,Right-handed,On your left side,True,2,3
Third Year,Yes,Cognitive Science,False,2,False,Yes,Yes,7/23,8,4,6,Right-handed,On your stomach,True,7,4
Third Year,I don't know,"Business, Data Science",True,3,True,Yes,Yes,8/10,4,6,7,Left-handed,On your back,False,0,4
Third Year,Yes,"Data Science, Spanish",True,5,True,Yes,Yes,1/23,1,1,7,Right-handed,On your back,True,2,2
Second Year,No,Cognitive Science,False,2,True,Yes,Yes,5/22,3,1,7,Right-handed,On your back,True,5,2
First Year,Yes,Undecided,True,3,False,Yes,Yes,9/27,8,3,7,Right-handed,On your right side,False,0,2
Fourth Year,Yes,"Data Science, Gender and Women Studies",True,3,False,Yes,Yes,12/7,10,5,8,Right-handed,On your stomach,True,10,5
First Year,No,Media Studies,False,1,False,Yes,No,12/20,5,10,8,Right-handed,On your back,True,2,4
Third Year,No,Applied Math,True,4,False,Yes,Yes,6/19,3,3,8,Right-handed,On your right side,False,0,2
Second Year,Yes,Economics,False,1,False,Maybe,No,3/7,7,3,6,Right-handed,On your back,True,0,3
First Year,No,Data Science,True,4,True,Yes,Yes,9/14,6,6,7,Right-handed,On your right side,True,1,5
First Year,Yes,Data Science,True,2,False,Yes,Yes,1/6,8,5,6,Right-handed,On your right side,True,2,2
Third Year,No,Data Science,True,3,True,Yes,Yes,3/13,8,50,7,Left-handed,On your right side,True,1,1
Third Year,Yes,Public Health,True,3,False,Yes,Yes,5/3,7,6,9,Right-handed,On your right side,True,1,2
First Year,Yes,Civil Engineering,True,3,False,Yes,Yes,4/9,7,4,6,Right-handed,On your stomach,True,0,3
First Year,No,Data Science,True,4,True,Yes,Yes,9/7,8,3,7,Right-handed,On your right side,True,0,2
First Year,No,"Data Science, Economics",True,4,False,Yes,Yes,7/12,7,15,8,Right-handed,On your left side,True,0,2
Second Year,No,"Political Science, History",False,1,False,Yes,Yes,6/14,5,7,9,Right-handed,On your stomach,True,1,1
Second Year,Yes,Public Health,False,3,True,Yes,Yes,2/2,6,2,6,Right-handed,On your back,True,2,3
First Year,Yes,EECS,False,1,False,Yes,Yes,11/6,7,3,6,Right-handed,On your stomach,True,4,3
First Year,I don't know,"Cognitive Science, Psychology, Politics, Philosophy, and Law",False,1,False,Yes,Yes,3/1,4,5,5,Right-handed,On your right side,True,7,5
Second Year,Yes,Undecided,True,2,False,Yes,Yes,11/14,6,3,7,Right-handed,On your right side,True,2,3
First Year,Yes,Civil Engineering,True,1,True,Yes,Yes,1/22,9,12,6,Right-handed,On your left side,True,27,6
First Year,Yes,Mechanical Engineer,False,2,False,Yes,I don't know,3/4,6,8,6,Right-handed,On your stomach,True,0,2
First Year,Yes,Civil Engineering,False,3,False,Yes,I don't know,8/3,10,10,7,Right-handed,On your stomach,True,4,4
First Year,No,Undecided,False,1,False,Yes,Yes,10/16,7,10,8,Right-handed,On your stomach,True,3,4
Fourth Year,Yes,Political Science,True,5,True,Yes,Yes,3/23,8,3,7,Right-handed,On your stomach,True,0,3
Second Year,No,"Cognitive Science, Economics",False,1,True,Yes,Yes,1/12,3,10,6,Right-handed,On your right side,True,2,3
First Year,No,Computer Science,True,2,True,Yes,Yes,3/28,3,1,7,Right-handed,On your back,False,0,1
Fourth Year,No,"Cognitive Science, Data Science",True,2,True,Yes,Yes,8/20,6,6,6,Right-handed,On your right side,False,3,5
First Year,No,Data Science,True,4,False,Yes,Yes,12/8,7,3,8,Right-handed,On your back,False,0,3
First Year,Yes,Civil Engineering,False,2,True,Yes,Yes,6/11,4,5,8,Right-handed,On your right side,True,2,2
Second Year,No,"Applied Math, Business",True,1,True,Yes,Yes,5/5,4,10,6,Right-handed,On your left side,False,0,3
Second Year,Yes,"Computer Science, Data Science, Economics",True,4,True,Yes,Yes,3/19,7,3,9,Left-handed,On your left side,True,0,6
Second Year,No,Undecided,True,3,False,Yes,Yes,10/31,8,6,10,Right-handed,On your right side,False,0,3
First Year,Yes,Public Health,False,1,False,Yes,Yes,9/7,7,3,7,Right-handed,On your right side,True,6,2
Second Year,No,Economics,True,3,False,Yes,Yes,11/17,5,5,7,Left-handed,On your back,False,4,5
Second Year,No,Computer Science,True,5,True,Yes,Yes,9/2,8,10,7,Right-handed,On your right side,False,2,3
Fourth Year,No,Business,False,1,False,Yes,No,12/7,6,5,6,Right-handed,On your right side,True,1,3
Second Year,No,Public Health,False,1,False,Yes,Yes,10/17,8,3,8,Left-handed,On your left side,False,4,3
Fourth Year,Yes,Media Studies,True,3,False,Yes,Yes,7/28,4,5,7,both,On your left side,False,4,3
First Year,Yes,Data Science,True,1,True,Yes,Yes,5/6,7,7,7,Right-handed,On your left side,True,0,3
Third Year,Yes,"Data Science, Media Studies",True,3,False,Yes,Yes,8/4,5,9,8,Right-handed,On your left side,False,2,3
Third Year,I don't know,Data Science,True,5,True,Yes,Yes,11/6,10,3,7,Right-handed,On your right side,True,0,6
Second Year,Yes,Computer Science,True,5,False,Yes,Yes,7/15,5,10,7,Right-handed,On your right side,False,2,3
Third Year,Yes,Data Science,True,3,True,Yes,Yes,7/28,3,3,8,Right-handed,On your stomach,True,2,3
Second Year,Yes,Molecular and Cell Biology,False,1,True,Yes,Yes,7/26,8,5,6,Left-handed,On your left side,True,2,2
Second Year,Yes,Political Science,False,2,False,Yes,Yes,8/21,9,10,6,Right-handed,On your right side,True,2,6
First Year,No,Civil Engineering,True,3,True,Yes,Yes,2/9,1,10,7,Right-handed,On your left side,False,0,4
First Year,I don't know,Data Science,True,4,True,Yes,Yes,12/2,4,7,7,Right-handed,On your back,False,0,3
Second Year,No,"Economics, Political Economy",False,2,True,Yes,Yes,7/9,1,2,7,Right-handed,On your right side,False,0,0
Second Year,I don't know,Chemistry,True,3,False,Yes,No,8/19,3,10,7,Right-handed,On your right side,True,0,3
Fourth Year,No,ChemE,True,3,False,Yes,Yes,7/3,5,3,5,Right-handed,On your left side,False,0,7
Third Year,Yes,film,False,1,False,Yes,I don't know,3/8,3,2,6,Right-handed,On your left side,True,0,2
Second Year,Yes,Neuroscience,False,1,True,Yes,Yes,12/2,3,5,7,Right-handed,On your left side,True,4,1
Fourth Year,Yes,"Cognitive Science, Computer Science, Data Science",True,5,True,Yes,Yes,3/9,8,7,7,Left-handed,On your left side,False,2,3
Second Year,Yes,Civil Engineer,False,1,False,Maybe,Yes,1/4,3,1,7,Right-handed,On your left side,True,2,2
Third Year,I don't know,Data Science,True,3,True,Yes,Yes,12/19,6,2,6,Left-handed,On your stomach,False,0,3
Second Year,Yes,Molecular and Cell Biology,False,1,False,Yes,Yes,5/3,6,3,7,Right-handed,On your back,True,4,3
Third Year,Yes,Environmental Economics & Policy,False,1,True,Yes,Yes,6/17,8,10,7,Right-handed,On your left side,True,0,4
First Year,Yes,EECS,True,3,False,Yes,Yes,9/19,7,20,8,Left-handed,On your stomach,True,0,2
Second Year,I don't know,Mathematics,True,3,False,Yes,No,3/20,8,8,7,Right-handed,On your left side,True,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,5/12,7,10,7,Right-handed,On your right side,False,2,3
Second Year,No,"Data Science, Materials Science and Engineering",True,4,False,Yes,Yes,8/15,8,7,6,Left-handed,On your stomach,False,1,3
First Year,No,Data Science,True,5,True,Yes,Yes,7/30,7,4,7,Right-handed,On your left side,True,0,2
Third Year,Yes,"Public Health, Society and Environment ",False,1,True,Yes,Yes,3/12,6,6,7,Right-handed,On your left side,True,2,6
Third Year,I don't know,Civil Engineering,True,3,True,Yes,Yes,5/25,7,4,7,Right-handed,On your right side,False,0,2
Fourth Year,Yes,Applied Math,False,2,True,Yes,Yes,6/22,6,4,8,Right-handed,On your left side,False,2,2
Second Year,I don't know,Computer Science,True,5,False,Yes,Yes,2/23,8,20,8,Right-handed,On your back,True,0,3
Second Year,No,"Data Science, Neuroscience",True,5,True,Yes,Yes,9/1,2,3,6,Left-handed,On your back,False,0,4
Second Year,Yes,Environmental Science,False,2,True,Yes,Yes,4/12,5,9,7,Right-handed,On your back,False,2,2
Third Year,Yes,Cognitive Science,True,3,True,Yes,Yes,12/29,5,10,6,Right-handed,On your right side,False,4,2
Second Year,I don't know,Media Studies,False,2,True,Yes,Yes,9/27,7,10,4,Right-handed,On your stomach,True,2,3
First Year,No,"Economics, Global Studies",True,4,True,Yes,Yes,2/6,7,10,7,Right-handed,On your back,False,0,4
First Year,Yes,I'm not undeclared,False,3,False,Yes,Yes,10/30,8,5,6,Right-handed,On your right side,True,2,2
First Year,No,"Business, Data Science",True,2,True,Yes,Yes,2/28,6,8,7,Right-handed,On your right side,False,0,3
Third Year,No,Applied Math,False,4,True,Yes,Yes,2/10,3,5,7,Right-handed,On your right side,False,0,4
Fourth Year,No,geography,False,1,False,Maybe,No,1/14,5,2,7,Left-handed,On your left side,True,0,3
Third Year,Yes,Data Science,True,3,False,Yes,Yes,5/10,6,6,7.5,Right-handed,On your left side,False,4,5
Fifth Year or above,Yes,IEOR,True,5,True,Yes,Yes,12/5,8,5,7.55,Right-handed,On your left side,False,0,3
Fourth Year,Yes,Political Economy,False,1,True,Maybe,Yes,6/27,2,3,5,Right-handed,On your back,False,0,3
Second Year,Yes,Economics,False,2,True,Yes,Yes,1/15,10,6,6,Right-handed,On your stomach,True,5,2
Third Year,No,Molecular and Cell Biology,False,1,True,Yes,No,4/2,6,2,6,Right-handed,On your back,True,2,2
Third Year,No,"Economics, EEP",False,1,True,Yes,Yes,2/1,8,10,7,Right-handed,On your left side,True,0,5
First Year,I don't know,Economics,True,3,True,Yes,Yes,4/19,7,20,9,Right-handed,On your right side,True,0,1
First Year,No,civil engineering,False,2,False,Yes,Yes,6/22,8,8,8,Right-handed,On your stomach,True,8,2
Second Year,Yes,Psychology,False,1,False,Yes,Yes,3/14,3,3,8,Right-handed,On your right side,True,8,4
Third Year,I don't know,Political Economy,False,1,False,Yes,Yes,11/10,5,2,8,Left-handed,On your right side,True,0,2
Second Year,I don't know,Public Health,False,3,False,Yes,Yes,11/9,8,5,7.5,Right-handed,On your back,True,2,1
Fourth Year,Yes,Media Studies,False,1,True,Yes,Yes,9/30,6,1,7,Right-handed,On your left side,True,5,2
Second Year,No,Political Science,True,2,True,Yes,Yes,12/20,9,6,6,Left-handed,On your back,True,0,3
Second Year,No,Computer Science,True,5,False,Yes,I don't know,2/26,4,2,6,Right-handed,On your stomach,True,0,3
Third Year,Yes,Civil Engineering,True,5,False,Yes,Yes,4/17,2,4,8,Right-handed,On your stomach,True,7,5
Second Year,Yes,Data Science,True,3,False,Yes,Yes,4/29,6,3,7,Right-handed,On your right side,True,2,3
Second Year,I don't know,"Cognitive Science, Political Science",False,1,False,Yes,Yes,4/11,7,10,7,Right-handed,On your stomach,True,3,3
Third Year,No,Data Science,True,4,True,Yes,Yes,1/1,6,3,7,Right-handed,On your left side,False,2,2
Third Year,No,Mathematics,True,3,False,Yes,Yes,4/7,6,3,8,Right-handed,On your stomach,True,0,2
Second Year,Yes,Public Health,False,2,False,Yes,Yes,11/8,6,8,6,Right-handed,On your left side,False,1,2
Third Year,Yes,Data Science,True,3,True,Yes,Yes,5/14,7,5,7,Right-handed,On your right side,True,2,2
Second Year,I don't know,Economics,False,1,True,Yes,Yes,11/23,8,6,8,Right-handed,On your left side,False,5,6
Third Year,No,Applied Math,True,5,True,Yes,Yes,6/29,9,13,7,Right-handed,On your left side,False,4,4
Third Year,No,"Data Science, Statistics",True,4,True,Yes,Yes,6/4,7,3,7,Right-handed,On your right side,True,2,5
Fourth Year,I don't know,Public Health,False,2,False,Yes,Yes,9/30,4,10,6,Right-handed,On your right side,False,3,5
Fourth Year,Yes,"Environmental Science, Public Health",True,2,True,Yes,Yes,8/8,3,7,6,Right-handed,On your right side,True,2,2
Second Year,No,Neuroscience,False,1,True,Yes,Yes,8/10,7,10,5,Right-handed,On your left side,False,2,1
Second Year,Yes,"Data Science, Public Health",True,1,True,Yes,Yes,7/1,6,6,7,Right-handed,On your right side,True,2,3
First Year,No,"Data Science, Economics",True,4,False,Yes,Yes,12/17,9,10,8,Right-handed,On your stomach,False,2,2
Fourth Year,Yes,Media Studies,False,4,True,Yes,Yes,7/14,8,10,6,Right-handed,On your back,True,1,2
First Year,No,Molecular and Environmental Biology,True,3,False,Yes,Yes,7/18,8,6,6,Right-handed,On your back,False,7,4
Second Year,Yes,"Data Science, Political Science",True,2,True,Yes,Yes,2/28,5,4,6,Right-handed,On your back,True,6,2
Third Year,Yes,Data Science,False,3,True,Yes,Yes,3/30,3,2,8,Right-handed,On your back,False,1,4
Third Year,I don't know,Molecular and Cell Biology,False,3,False,Yes,Yes,2/24,3,3,7,Right-handed,On your back,False,0,2
Third Year,Yes,"Psychology, Public Health",False,1,True,Yes,Yes,3/26,4,3,5,Right-handed,On your stomach,True,3,1
Third Year,Yes,Public Health,False,4,False,Yes,Yes,7/1,7,5,6,Right-handed,On your stomach,True,2,3
Fourth Year,No,English,True,2,True,Yes,No,5/23,10,11,5,Right-handed,On your left side,True,13,8
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,4,False,Yes,Yes,2/4,7,6,6,Right-handed,On your stomach,True,5,3
First Year,No,"Data Science, Economics",True,2,True,Yes,Yes,8/22,7,15,7,Right-handed,On your back,True,0,2
First Year,Yes,"Undecided, Civil or Mechanical Engineering",False,2,False,Yes,Yes,12/11,9,12,6,both but I use my right more often,On your right side,True,9,2
Third Year,Yes,"Public Health, data science minor",False,1,True,Yes,Yes,5/12,9,10,8,Right-handed,On your right side,True,4,2
Second Year,No,Chemical Biology,False,1,True,Yes,Yes,8/25,8,7,6,Right-handed,On your right side,True,14,2
Third Year,I don't know,Statistics,True,2,True,Yes,Yes,8/28,8,8,7,Right-handed,On your right side,True,6,4
Fourth Year,No,Molecular and Cell Biology,True,4,False,Yes,Yes,10/15,4,5,7,Right-handed,On your left side,False,1,3
Third Year,Yes,Statistics,False,4,False,Yes,Yes,9/8,5,3,7,Left-handed,On your stomach,True,0,2
